Title,Score,Num_reviews,Age,Pages,Language,Price_tapa_dura,Price_tapa_blanda,Price_Kindle
Mi primer Busca las diferencias (MIS PRIMEROS...),4.8,180.0, 3 - 5 anos,64.0,,0.0,8.93,0.0
El Monstruo de Colores,4.8,1647.0,3 - 6 anos,44.0,Español,16.3,0.0,0.0
Los animales (Juega y descubre...),4.7,1166.0, 1 - 2 anos,12.0,Español,0.0,4.79,0.0
"Jugones: Conoce los secretos de Messi, Cristiano, Pelé o Maradona para llegar a ser como ellos (La Esfera Kids)",4.6,55.0,8 - 14 anos,176.0,Español,0.0,0.0,0.0
Ten Timid Ghosts (Read With Me Paperbacks),4.7,5173.0, 3 - 6 anos,32.0,,0.0,0.0,0.0
Anna Kadabra 10. La llamada de las sirenas,4.8,213.0, 7 - 9 anos,128.0,,0.0,9.95,4.74
Marcus Pocus 3. La maldición de los elfos,4.8,44.0,6 anos ou mais,128.0,,0.0,0.0,4.74
"Eres Especial y Puedes Hacer Cosas Extraordinarias: Un pequeño gran libro para niños y niñas que inspira el valor, la autoestima y la fuerza para ser uno ... sueños (Cuentos Infantiles 4-10 Años nº 1)",4.5,175.0, 5 - 10 anos,81.0,,0.0,11.8,0.0
Soy más fuerte que la ira: Libro ilustrado acerca del manejo de la ira y cómo lidiar con las emociones de los niños (El mundo de las emociones y ... (Spanish Edition) (World of Kids Emotions),4.3,795.0, 4 - 8 anos,32.0,Español,0.0,0.0,0.0
Sexualidad contada para Niños y niñas (Mi primer libro de...),4.6,184.0,8 anos ou mais,96.0,Español,11.56,0.0,0.0
Animalotes 1 y 2: El comienzo / Misión implumable (CÓMIC - Animalotes),4.7,176.0, 6 - 9 anos,288.0,,,,
La pequeña oruga glotona grande tapa dura: La pequena oruga glotona (ERIC CARLE),4.5,619.0, 1 - 4 anos,32.0,Español,14.52,0.0,0.0
Diario de Greg 17 - Dando la nota (Universo Diario de Greg),4.8,166.0,7 anos ou mais,224.0,Español,0.0,0.0,6.64
¡Final de Supercopa... en Ratonia!: Geronimo Stilton 65,4.7,131.0,7 - 9 anos,128.0,,0.0,0.0,3.79
Pack La Rana Ramona (El pollo Pepe y sus amigos),4.8,431.0, 1 - 2 anos,10.0,,,,
Kaiju 8 nº 05 (Manga Shonen),5.0,12.0,9 anos ou mais,200.0,,,,
Los tres cerditos (Pop-up de cuento): Con Pop-Up en cada página para niños y niñas,4.1,16.0,0 - 3 anos,8.0,Español,,,
Pack Harry Potter - La serie completa,4.7,2072.0, 11 anos ou mais,320.0,Español,,,
Un bicho extraño (libros para soñar),4.7,537.0, 2 - 4 anos,14.0,Español,,,
El hilo invisible (Pequeñas manitas) (B de Blok),4.8,824.0, 3 - 6 anos,26.0,Español,,,
"Aprender a leer en la Escuela de Monstruos 11 - Primer día, ¡qué alegría!: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años) (Montena)",,,,48.0,Español,,,
